id,evaluation_id/id,test_id/id,result,test_selection_id/id
kinesis_athletics_x.evaluation_detail_1,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_1,120,
kinesis_athletics_x.evaluation_detail_2,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_2,100,
kinesis_athletics_x.evaluation_detail_3,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_3,50,
kinesis_athletics_x.evaluation_detail_4,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_4,0,
kinesis_athletics_x.evaluation_detail_5,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_5,0,
kinesis_athletics_x.evaluation_detail_6,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_6,23,
kinesis_athletics_x.evaluation_detail_7,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_7,43,
kinesis_athletics_x.evaluation_detail_8,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_8,54,
kinesis_athletics_x.evaluation_detail_9,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_9,23,
kinesis_athletics_x.evaluation_detail_10,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_10,12,
kinesis_athletics_x.evaluation_detail_11,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_11,65,
kinesis_athletics_x.evaluation_detail_12,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_12,179,
kinesis_athletics_x.evaluation_detail_13,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_13,135,
kinesis_athletics_x.evaluation_detail_14,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_14,124,
kinesis_athletics_x.evaluation_detail_15,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_15,,kinesis_athletics_x.test_selection_1
kinesis_athletics_x.evaluation_detail_16,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_16,,kinesis_athletics_x.test_selection_6
kinesis_athletics_x.evaluation_detail_17,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_17,,kinesis_athletics_x.test_selection_8
kinesis_athletics_x.evaluation_detail_18,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_18,,kinesis_athletics_x.test_selection_10
kinesis_athletics_x.evaluation_detail_19,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_19,,kinesis_athletics_x.test_selection_13
kinesis_athletics_x.evaluation_detail_20,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_20,,kinesis_athletics_x.test_selection_23
kinesis_athletics_x.evaluation_detail_21,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_21,,kinesis_athletics_x.test_selection_24
kinesis_athletics_x.evaluation_detail_22,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_22,,kinesis_athletics_x.test_selection_27
kinesis_athletics_x.evaluation_detail_23,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_23,,kinesis_athletics_x.test_selection_29
kinesis_athletics_x.evaluation_detail_24,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_24,,kinesis_athletics_x.test_selection_30
kinesis_athletics_x.evaluation_detail_25,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_25,,kinesis_athletics_x.test_selection_32
kinesis_athletics_x.evaluation_detail_26,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_26,,kinesis_athletics_x.test_selection_18
kinesis_athletics_x.evaluation_detail_27,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_27,,kinesis_athletics_x.test_selection_20
kinesis_athletics_x.evaluation_detail_28,kinesis_athletics_x.evaluation_3,kinesis_athletics_x.test_28,,kinesis_athletics_x.test_selection_36
kinesis_athletics_x.evaluation_detail_29,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_1,179,
kinesis_athletics_x.evaluation_detail_30,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_2,135,
kinesis_athletics_x.evaluation_detail_31,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_3,90,
kinesis_athletics_x.evaluation_detail_32,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_4,0,
kinesis_athletics_x.evaluation_detail_33,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_5,0,
kinesis_athletics_x.evaluation_detail_34,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_6,54,
kinesis_athletics_x.evaluation_detail_35,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_7,54,
kinesis_athletics_x.evaluation_detail_36,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_8,43,
kinesis_athletics_x.evaluation_detail_37,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_9,43,
kinesis_athletics_x.evaluation_detail_38,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_10,34,
kinesis_athletics_x.evaluation_detail_39,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_11,23,
kinesis_athletics_x.evaluation_detail_40,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_12,23,
kinesis_athletics_x.evaluation_detail_41,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_13,12,
kinesis_athletics_x.evaluation_detail_42,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_14,12,
kinesis_athletics_x.evaluation_detail_43,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_15,,kinesis_athletics_x.test_selection_1
kinesis_athletics_x.evaluation_detail_44,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_16,,kinesis_athletics_x.test_selection_6
kinesis_athletics_x.evaluation_detail_45,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_17,,kinesis_athletics_x.test_selection_8
kinesis_athletics_x.evaluation_detail_46,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_18,,kinesis_athletics_x.test_selection_10
kinesis_athletics_x.evaluation_detail_47,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_19,,kinesis_athletics_x.test_selection_13
kinesis_athletics_x.evaluation_detail_48,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_20,,kinesis_athletics_x.test_selection_23
kinesis_athletics_x.evaluation_detail_49,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_21,,kinesis_athletics_x.test_selection_24
kinesis_athletics_x.evaluation_detail_50,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_22,,kinesis_athletics_x.test_selection_27
kinesis_athletics_x.evaluation_detail_51,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_23,,kinesis_athletics_x.test_selection_29
kinesis_athletics_x.evaluation_detail_52,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_24,,kinesis_athletics_x.test_selection_30
kinesis_athletics_x.evaluation_detail_53,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_25,,kinesis_athletics_x.test_selection_32
kinesis_athletics_x.evaluation_detail_54,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_26,,kinesis_athletics_x.test_selection_18
kinesis_athletics_x.evaluation_detail_55,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_27,,kinesis_athletics_x.test_selection_20
kinesis_athletics_x.evaluation_detail_56,kinesis_athletics_x.evaluation_4,kinesis_athletics_x.test_28,,kinesis_athletics_x.test_selection_36
kinesis_athletics_x.evaluation_detail_57,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_1,179,
kinesis_athletics_x.evaluation_detail_58,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_2,135,
kinesis_athletics_x.evaluation_detail_59,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_3,50,
kinesis_athletics_x.evaluation_detail_60,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_4,0,
kinesis_athletics_x.evaluation_detail_61,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_5,0,
kinesis_athletics_x.evaluation_detail_62,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_6,54,
kinesis_athletics_x.evaluation_detail_63,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_7,54,
kinesis_athletics_x.evaluation_detail_64,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_8,43,
kinesis_athletics_x.evaluation_detail_65,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_9,43,
kinesis_athletics_x.evaluation_detail_66,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_10,34,
kinesis_athletics_x.evaluation_detail_67,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_11,23,
kinesis_athletics_x.evaluation_detail_68,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_12,23,
kinesis_athletics_x.evaluation_detail_69,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_13,12,
kinesis_athletics_x.evaluation_detail_70,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_14,12,
kinesis_athletics_x.evaluation_detail_71,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_15,,kinesis_athletics_x.test_selection_1
kinesis_athletics_x.evaluation_detail_72,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_16,,kinesis_athletics_x.test_selection_6
kinesis_athletics_x.evaluation_detail_73,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_17,,kinesis_athletics_x.test_selection_8
kinesis_athletics_x.evaluation_detail_74,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_18,,kinesis_athletics_x.test_selection_10
kinesis_athletics_x.evaluation_detail_75,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_19,,kinesis_athletics_x.test_selection_13
kinesis_athletics_x.evaluation_detail_76,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_20,,kinesis_athletics_x.test_selection_23
kinesis_athletics_x.evaluation_detail_77,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_21,,kinesis_athletics_x.test_selection_24
kinesis_athletics_x.evaluation_detail_78,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_22,,kinesis_athletics_x.test_selection_27
kinesis_athletics_x.evaluation_detail_79,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_23,,kinesis_athletics_x.test_selection_29
kinesis_athletics_x.evaluation_detail_80,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_24,,kinesis_athletics_x.test_selection_30
kinesis_athletics_x.evaluation_detail_81,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_25,,kinesis_athletics_x.test_selection_32
kinesis_athletics_x.evaluation_detail_82,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_26,,kinesis_athletics_x.test_selection_18
kinesis_athletics_x.evaluation_detail_83,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_27,,kinesis_athletics_x.test_selection_20
kinesis_athletics_x.evaluation_detail_84,kinesis_athletics_x.evaluation_5,kinesis_athletics_x.test_28,,kinesis_athletics_x.test_selection_36
kinesis_athletics_x.evaluation_detail_85,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_1,179,
kinesis_athletics_x.evaluation_detail_86,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_2,135,
kinesis_athletics_x.evaluation_detail_87,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_3,90,
kinesis_athletics_x.evaluation_detail_88,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_4,0,
kinesis_athletics_x.evaluation_detail_89,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_5,0,
kinesis_athletics_x.evaluation_detail_90,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_6,54,
kinesis_athletics_x.evaluation_detail_91,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_7,54,
kinesis_athletics_x.evaluation_detail_92,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_8,43,
kinesis_athletics_x.evaluation_detail_93,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_9,43,
kinesis_athletics_x.evaluation_detail_94,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_10,34,
kinesis_athletics_x.evaluation_detail_95,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_11,23,
kinesis_athletics_x.evaluation_detail_96,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_12,23,
kinesis_athletics_x.evaluation_detail_97,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_13,12,
kinesis_athletics_x.evaluation_detail_98,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_14,12,
kinesis_athletics_x.evaluation_detail_99,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_15,,kinesis_athletics_x.test_selection_1
kinesis_athletics_x.evaluation_detail_100,kinesis_athletics_x.evaluation_6,kinesis_athletics_x.test_16,,kinesis_athletics_x.test_selection_6
